orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,disposition,survey
56.2279271,2.37,3.57,862.7,366.0,4.22,4959.0,0.756,4.603,CONFIRMED,Kepler
2.384052875,17.06,3.0918,1268.1,1010.0,244.87,4794.0,0.701,4.58,FALSE POSITIVE,Kepler
7.953547,2.25,2.6312,875.4,696.0,55.37,4768.0,0.779,4.536,CONFIRMED,Kepler
4.14451656,1.48,2.3421,391.8,864.0,132.08,4768.0,0.779,4.536,CONFIRMED,Kepler
4.859386384,38.33,2.2757,6044.3,1114.0,364.23,6072.0,0.988,4.47,FALSE POSITIVE,Kepler
10.526294577,8.24,2.5211,9768.0,713.0,61.16,5386.0,0.793,4.553,CONFIRMED,Kepler
4.583520948,5.39,2.7055,3812.1,1038.0,274.98,5815.0,0.877,4.54,CONFIRMED,Kepler
3.76181843,2.66,3.5176,510.6,1121.0,372.62,5653.0,0.949,4.472,CONFIRMED,Kepler
8.20396958,3.01,2.9667,1024.4,742.0,71.5,5015.0,0.826,4.499,CONFIRMED,Kepler
14.49645186,3.01,4.016,647.5,613.0,33.48,5015.0,0.826,4.499,CONFIRMED,Kepler
6.54626149,2.19,2.75,655.9,810.0,101.78,5251.0,0.817,4.581,CONFIRMED,Kepler
12.71809866,2.31,3.0957,1149.4,562.0,23.6,4702.0,0.686,4.592,CONFIRMED,Kepler
36.06588163,2.64,4.3246,1563.8,397.0,5.88,4702.0,0.686,4.592,CONFIRMED,Kepler
4.190425659,6.21,2.8589,2877.4,1234.0,547.9,6073.0,1.135,4.392,CONFIRMED,Kepler
3.709870784,4.35,3.0694,2020.3,1151.0,415.1,5727.0,0.978,4.463,CONFIRMED,Kepler
16.3297527,3.75,6.271,1187.5,727.0,66.08,5878.0,0.987,4.444,CONFIRMED,Kepler
27.807566216,13.84,4.21587,25391.0,554.0,22.24,5862.0,0.785,4.584,CONFIRMED,Kepler
80.8723469,7.59,11.195,3604.6,452.0,9.88,5510.0,1.238,4.222,CONFIRMED,Kepler
3.166465862,26.82,2.9381,4357.2,954.0,196.31,4968.0,0.704,4.575,FALSE POSITIVE,Kepler
24.99324319,2.29,5.9409,269.6,712.0,60.88,5718.0,1.317,4.181,CONFIRMED,Kepler
