orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,survey,original_index
2.27050106,0.55,1.903,106.7,903.0,157.05,4671.0,0.528,4.721,Kepler,2032
18.55581565,20.83,5.372,565.9,1793.0,2442.24,5988.0,8.841,2.982,Kepler,2045
13.33094869,25.95,1.426,725.6,815.0,104.37,5991.0,1.039,4.394,Kepler,2046
21.47642727,59.5,5.5498,348130.0,655.0,43.52,5780.0,1.0,4.438,Kepler,2070
7.10397925,1.51,1.5398,370.5,818.0,105.84,5488.0,0.789,4.584,Kepler,2078
6.77367892,1.33,3.579,150.7,1083.0,324.84,6392.0,1.072,4.425,Kepler,2088
5.22402436,0.58,2.608,48.1,941.0,185.16,5487.0,0.84,4.512,Kepler,2089
15.92108138,3.14,1.5443,716.8,645.0,40.88,5595.0,0.82,4.57,Kepler,2098
2.81043228,1.43,3.874,47.4,1701.0,1978.53,5415.0,2.079,3.868,Kepler,2101
175.603366,2.87,9.543,506.8,348.0,3.46,6225.0,1.009,4.461,Kepler,2105
64.034363,3.47,9.174,758.8,411.0,6.72,5691.0,0.783,4.561,Kepler,2113
4.790912471,2.25,0.5134,360.7,717.0,62.51,4359.0,0.676,4.601,Kepler,2121
47.3659328,11.97,7.929,757.0,481.0,12.62,5708.0,0.902,4.482,Kepler,2139
29.2254372,1.35,5.293,174.1,614.0,33.69,6049.0,1.008,4.461,Kepler,2150
13.9034057,1.55,3.408,261.4,646.0,41.08,5261.0,0.819,4.523,Kepler,2154
53.3580444,3.41,6.812,736.1,474.0,11.94,5481.0,1.036,4.369,Kepler,2158
73.711039,1.77,10.062,136.7,563.0,23.81,6374.0,1.502,4.193,Kepler,2170
14.43348326,16.25,2.663,526.8,558.0,22.91,4915.0,0.702,4.627,Kepler,2171
6.35705314,1.59,1.324,272.2,990.0,227.07,5982.0,0.96,4.493,Kepler,2173
1.530515205,0.84,0.5945,659.7,608.0,32.46,3462.0,0.259,5.004,Kepler,2177
17.6997392,1.96,2.76,752.7,523.0,17.73,4807.0,0.742,4.583,Kepler,2183
0.754457729,2.07,0.5891,248.2,2131.0,4879.62,5561.0,1.193,4.25,Kepler,2189
62.6825769,39.8,2.327,398.9,916.0,166.36,7058.0,3.101,3.648,Kepler,2192
16.2707207,28.42,5.707,468.0,827.0,110.79,6117.0,1.244,4.315,Kepler,2194
5.42204257,1.39,2.952,79.1,1222.0,527.11,6123.0,1.263,4.263,Kepler,2202
24.1073172,2.74,10.465,104.2,1065.0,304.22,6585.0,2.517,3.813,Kepler,2208
51.5738653,2.41,2.784,900.7,417.0,7.12,5380.0,0.813,4.581,Kepler,2211
0.827151296,19.1,1.385,272.4,5171.0,168151.39,4452.0,11.895,2.28,Kepler,2248
11.6191707,2.21,1.819,700.4,756.0,77.43,5870.0,0.834,4.56,Kepler,2256
38.2292037,1.51,3.893,605.8,359.0,3.92,4544.0,0.598,4.656,Kepler,2258
176.845697,42.05,3.812,431.6,291.0,1.69,5592.0,0.797,4.541,Kepler,2263
18.0243482,1.98,3.575,441.2,683.0,51.44,5955.0,0.91,4.52,Kepler,2268
16.4793229,1.53,3.312,479.1,537.0,19.62,4908.0,0.716,4.618,Kepler,2269
2.10081629,1.65,2.8182,169.1,1378.0,852.78,5815.0,0.918,4.5,Kepler,2277
3.67936863,0.92,3.47,85.9,1112.0,361.27,5676.0,0.848,4.474,Kepler,2288
7.4464635,0.77,4.084,78.0,879.0,141.12,5676.0,0.848,4.474,Kepler,2289
2.252976718,1.19,1.7131,467.9,795.0,94.26,4039.0,0.559,4.708,Kepler,2305
16.6146221,1.49,2.706,361.2,604.0,31.48,5295.0,0.8,4.548,Kepler,2315
5.83892993,1.19,1.1066,237.4,835.0,114.94,5279.0,0.769,4.588,Kepler,2317
3.09756897,1.75,4.588,83.3,1782.0,2380.18,6329.0,1.885,4.026,Kepler,2321
205.385912,2.11,8.681,1248.7,200.0,0.38,4400.0,0.624,4.659,Kepler,2329
1.23935745,1.5,1.683,150.9,1583.0,1488.51,5370.0,0.966,4.411,Kepler,2334
1.407020118,1.12,1.3766,181.9,1350.0,782.45,5022.0,0.849,4.485,Kepler,2336
24.4359956,2.31,6.254,496.6,674.0,48.81,6197.0,1.035,4.449,Kepler,2337
17.57704569,27.21,2.022,670.0,673.0,48.33,5653.0,0.901,4.442,Kepler,2350
1.400755743,1.3,1.0562,144.4,1628.0,1659.74,5487.0,1.072,4.333,Kepler,2354
1.28132831,4.52,0.9157,525.5,2215.0,5673.71,5918.0,1.596,3.978,Kepler,2357
119.0833042,22.19,2.558,2951.0,240.0,0.78,4412.0,0.623,4.662,Kepler,2361
27.8813154,1.54,6.346,209.2,681.0,50.86,6434.0,1.055,4.414,Kepler,2362
7.50790041,1.77,5.646,145.0,1138.0,396.33,6408.0,1.337,4.309,Kepler,2364
110.3783828,3.02,12.211,489.8,473.0,11.82,6342.0,1.359,4.242,Kepler,2373
4.28886792,0.57,2.599,59.3,944.0,187.43,5374.0,0.721,4.555,Kepler,2376
24.5752524,1.64,2.258,1003.4,316.0,2.35,3678.0,0.512,4.755,Kepler,2378
10.1747037,1.04,5.179,52.4,985.0,222.53,5866.0,1.339,4.191,Kepler,2381
2.17291055,0.93,2.139,76.4,1507.0,1220.49,6164.0,1.045,4.446,Kepler,2400
7.35101287,1.42,2.757,115.9,1064.0,303.08,5951.0,1.262,4.283,Kepler,2402
6.57159435,1.26,3.1044,65.7,1211.0,507.81,6042.0,1.432,4.139,Kepler,2407
0.868122253,1.65,1.5471,231.3,2047.0,4163.14,6116.0,1.084,4.44,Kepler,2413
13.84301228,1.98,4.077,567.8,699.0,56.45,5745.0,0.837,4.559,Kepler,2419
5.1952021,1.37,2.1552,320.8,836.0,115.35,5044.0,0.738,4.551,Kepler,2439
31.6084371,1.89,3.675,331.6,634.0,38.1,6341.0,1.033,4.446,Kepler,2442
16.1558656,2.04,3.798,731.3,455.0,10.1,4504.0,0.53,4.713,Kepler,2443
3.375716723,2.34,1.5436,175.7,1472.0,1111.66,6310.0,1.282,4.273,Kepler,2455
75.8580035,2.72,5.382,1148.4,281.0,1.47,4474.0,0.614,4.67,Kepler,2461
10.16435076,1.99,6.017,37.7,1389.0,879.94,6133.0,2.71,3.718,Kepler,2465
237.787237,9.91,10.509,1627.7,354.0,3.73,5185.0,1.853,3.936,Kepler,2486
0.698461304,14.81,0.7887,134.4,5173.0,168689.02,4676.0,12.558,2.577,Kepler,2494
110.7556272,29.64,6.819,8067.0,651.0,42.53,6525.0,2.668,3.772,Kepler,2503
14.4079035,23.4,2.524,3058.0,624.0,35.81,5440.0,0.728,4.617,Kepler,2505
7.0956395,1.2,3.465,108.1,989.0,225.73,5480.0,1.174,4.26,Kepler,2512
79.2450351,3.33,5.382,1347.3,404.0,6.33,5648.0,0.917,4.464,Kepler,2517
126.4451275,4.49,16.7151,3252.5,321.0,2.51,5613.0,0.795,4.581,Kepler,2524
5.77207177,1.54,2.605,328.5,915.0,165.58,5591.0,0.86,4.559,Kepler,2542
46.151253,2.08,5.346,649.0,423.0,7.59,5204.0,0.769,4.525,Kepler,2543
165.3447044,6.98,3.09,4899.0,301.0,1.93,5594.0,0.812,4.52,Kepler,2548
97.4463194,3.05,6.765,2141.1,283.0,1.52,4735.0,0.686,4.627,Kepler,2565
174.636181,11.12,15.679,2500.9,481.0,12.65,5974.0,2.232,3.859,Kepler,2570
1.791877025,1.48,1.166,46.1,2223.0,5787.99,6002.0,2.139,3.841,Kepler,2576
145.881936,1.8,11.342,156.9,424.0,7.63,6052.0,1.424,4.183,Kepler,2580
2.50343279,20.23,1.534,1156.0,1147.0,408.12,5174.0,0.84,4.483,Kepler,2588
96.4562198,9.1,11.195,950.5,727.0,65.96,7029.0,2.704,3.806,Kepler,2589
44.5643831,5.8,7.874,360.5,940.0,184.67,7029.0,2.704,3.806,Kepler,2590
253.374581,19.25,22.889,1104.0,555.0,22.41,5177.0,5.949,3.216,Kepler,2595
